suite,case,config,status,note,rust_status
compiler,allowSyntheticDefaultImports2.ts,,go-pass,,
compiler,allowSyntheticDefaultImports3.ts,,go-pass,,
compiler,allowSyntheticDefaultImports4.ts,,go-pass,,
compiler,allowSyntheticDefaultImports5.ts,,go-pass,,
compiler,allowSyntheticDefaultImports6.ts,,go-pass,,
compiler,allowSyntheticDefaultImports7.ts,,go-pass,,
compiler,allowSyntheticDefaultImports8.ts,,go-pass,,
compiler,allowSyntheticDefaultImports9.ts,,go-pass,,
compiler,allowSyntheticDefaultImportsCanPaintCrossModuleDeclaration.ts,,go-pass,,
compiler,alwaysStrict.ts,,go-diff,,
compiler,alwaysStrictAlreadyUseStrict.ts,,go-pass,,
compiler,alwaysStrictES6.ts,,go-diff,,
compiler,alwaysStrictModule.ts,,go-diff,,
compiler,alwaysStrictModule2.ts,,go-pass,,
compiler,alwaysStrictModule3.ts,,go-pass,,
compiler,alwaysStrictModule4.ts,,go-pass,,
compiler,alwaysStrictModule5.ts,,go-pass,,
compiler,alwaysStrictModule6.ts,target=es5,go-pass,,
compiler,alwaysStrictModule6.ts,target=es2015,go-pass,,
compiler,ambientClassDeclarationWithExtends.ts,,go-pass,,
compiler,ambientClassDeclaredBeforeBase.ts,,go-pass,,
compiler,ambientClassMergesOverloadsWithInterface.ts,,go-pass,,
compiler,ambientClassOverloadForFunction.ts,,go-pass,,
compiler,ambientConstLiterals.ts,,go-pass,,
compiler,ambientEnum1.ts,,go-diff,,
compiler,ambientEnumElementInitializer1.ts,,go-pass,,
compiler,ambientEnumElementInitializer2.ts,,go-pass,,
compiler,ambientEnumElementInitializer3.ts,,go-pass,,
compiler,ambientEnumElementInitializer4.ts,,go-pass,,
compiler,ambientEnumElementInitializer5.ts,,go-pass,,
compiler,ambientEnumElementInitializer6.ts,,go-pass,,
compiler,ambientErrors1.ts,,go-diff,,
compiler,ambientExportDefaultErrors.ts,,go-diff,,
compiler,ambientExternalModuleInAnotherExternalModule.ts,,go-diff,,
compiler,ambientExternalModuleReopen.ts,,go-pass,,
compiler,ambientExternalModuleWithInternalImportDeclaration.ts,,go-pass,,
compiler,ambientExternalModuleWithRelativeExternalImportDeclaration.ts,,go-diff,,
compiler,ambientExternalModuleWithRelativeModuleName.ts,,go-diff,,
compiler,ambientExternalModuleWithoutInternalImportDeclaration.ts,,go-pass,,
compiler,ambientFundule.ts,,go-pass,,
compiler,ambientGetters.ts,target=es5,go-pass,,
compiler,ambientGetters.ts,target=es2015,go-diff,,
compiler,ambientModuleExports.ts,,go-pass,,
compiler,ambientModuleWithClassDeclarationWithExtends.ts,,go-pass,,
compiler,ambientModuleWithTemplateLiterals.ts,,go-pass,,
compiler,ambientModules.ts,,go-diff,,
compiler,ambientNameRestrictions.ts,,go-pass,,
compiler,ambientPropertyDeclarationInJs.ts,,go-diff,,
compiler,ambientRequireFunction.ts,module=commonjs,go-pass,,
compiler,ambientRequireFunction.ts,module=preserve,go-pass,,
compiler,ambientStatement1.ts,,go-diff,,
compiler,ambientWithStatements.ts,alwaysstrict=true,go-diff,,
compiler,ambientWithStatements.ts,alwaysstrict=false,go-pass,,
compiler,ambiguousCallsWhereReturnTypesAgree.ts,,go-pass,,
compiler,ambiguousGenericAssertion1.ts,,go-diff,,
compiler,ambiguousOverload.ts,,go-diff,,
compiler,ambiguousOverloadResolution.ts,,go-pass,,
compiler,amdDeclarationEmitNoExtraDeclare.ts,,go-pass,,
compiler,amdDependencyComment1.ts,,go-diff,,
compiler,amdDependencyComment2.ts,,go-pass,,
compiler,amdDependencyCommentName1.ts,,go-diff,,
compiler,amdDependencyCommentName2.ts,,go-pass,,
compiler,amdDependencyCommentName3.ts,,go-pass,,
compiler,amdDependencyCommentName4.ts,,go-pass,,
compiler,amdLikeInputDeclarationEmit.ts,,go-pass,,
compiler,amdModuleBundleNoDuplicateDeclarationEmitComments.ts,,go-pass,,
compiler,amdModuleConstEnumUsage.ts,,skip-config,untranslatable: baseurl,
compiler,amdModuleName1.ts,,go-pass,,
compiler,amdModuleName2.ts,,go-pass,,
compiler,anonClassDeclarationEmitIsAnon.ts,,go-pass,,
compiler,anonterface.ts,,go-pass,,
compiler,anonymousClassDeclarationDoesntPrintWithReadonly.ts,,go-pass,,
compiler,anonymousClassExpression1.ts,,go-pass,,
compiler,anonymousClassExpression2.ts,,go-diff,,
compiler,anonymousModules.ts,,go-diff,,
compiler,anyAndUnknownHaveFalsyComponents.ts,,go-pass,,
compiler,anyAsReturnTypeForNewOnCall.ts,,go-pass,,
compiler,anyDeclare.ts,,go-diff,,
compiler,anyIdenticalToItself.ts,,go-diff,,
compiler,anyIndexedAccessArrayNoException.ts,,go-diff,,
compiler,anyInferenceAnonymousFunctions.ts,,go-diff,,
compiler,anyIsAssignableToObject.ts,,go-pass,,
compiler,anyIsAssignableToVoid.ts,,go-pass,,
compiler,anyMappedTypesError.ts,,go-diff,,
compiler,anyPlusAny1.ts,,go-pass,,
compiler,argsInScope.ts,,go-pass,,
compiler,arguments.ts,,go-diff,,
compiler,argumentsAsPropertyName.ts,,go-pass,,
compiler,argumentsAsPropertyName2.ts,,go-pass,,
compiler,argumentsBindsToFunctionScopeArgumentList.ts,alwaysstrict=true,go-diff,,
compiler,argumentsBindsToFunctionScopeArgumentList.ts,alwaysstrict=false,go-pass,,
compiler,argumentsObjectCreatesRestForJs.ts,,go-diff,,
compiler,argumentsObjectIterator01_ES5.ts,target=es5,go-pass,,
compiler,argumentsObjectIterator01_ES5.ts,target=es2015,go-pass,,
compiler,argumentsObjectIterator01_ES6.ts,,go-pass,,
compiler,argumentsObjectIterator02_ES5.ts,target=es5,go-pass,,
compiler,argumentsObjectIterator02_ES5.ts,target=es2015,go-pass,,
compiler,argumentsObjectIterator02_ES6.ts,,go-pass,,
compiler,argumentsObjectIterator03_ES5.ts,target=es5,go-pass,,
compiler,argumentsObjectIterator03_ES5.ts,target=es2015,go-pass,,
compiler,argumentsObjectIterator03_ES6.ts,,go-pass,,
compiler,argumentsPropertyNameInJsMode1.ts,,go-diff,,
compiler,argumentsPropertyNameInJsMode2.ts,,go-diff,,
compiler,argumentsReferenceInConstructor1_Js.ts,,go-pass,,
compiler,argumentsReferenceInConstructor2_Js.ts,,go-pass,,
compiler,argumentsReferenceInConstructor3_Js.ts,,go-pass,,
compiler,argumentsReferenceInConstructor4_Js.ts,,go-diff,,
compiler,argumentsReferenceInConstructor5_Js.ts,,go-pass,,
compiler,argumentsReferenceInConstructor6_Js.ts,,go-pass,,
compiler,argumentsReferenceInConstructor7_Js.ts,,go-pass,,
compiler,argumentsReferenceInFunction1_Js.ts,,go-diff,,
compiler,argumentsReferenceInMethod1_Js.ts,,go-pass,,
compiler,argumentsReferenceInMethod2_Js.ts,,go-pass,,
compiler,argumentsReferenceInMethod3_Js.ts,,go-pass,,
compiler,argumentsReferenceInMethod4_Js.ts,,go-diff,,
compiler,argumentsReferenceInMethod5_Js.ts,,go-pass,,
compiler,argumentsReferenceInMethod6_Js.ts,,go-pass,,
compiler,argumentsReferenceInMethod7_Js.ts,,go-pass,,
compiler,argumentsReferenceInObjectLiteral_Js.ts,alwaysstrict=true,go-diff,,
compiler,argumentsReferenceInObjectLiteral_Js.ts,alwaysstrict=false,go-pass,,
compiler,argumentsSpreadRestIterables.tsx,target=es5,go-pass,,
compiler,argumentsSpreadRestIterables.tsx,target=esnext,go-pass,,
compiler,argumentsUsedInClassFieldInitializerOrStaticInitializationBlock.ts,,go-diff,,
compiler,argumentsUsedInObjectLiteralProperty.ts,,go-pass,,
compiler,arithAssignTyping.ts,,go-diff,,
compiler,arithmeticOnInvalidTypes.ts,,go-diff,,
compiler,arithmeticOnInvalidTypes2.ts,,go-diff,,
