key,seconds
compiler/contextualPropertyOfGenericFilteringMappedType.ts,2
compiler/contextualPropertyOfGenericMappedType.ts,2
compiler/contextualSignatureInArrayElementLibEs2015.ts,1
compiler/contextualSignatureInArrayElementLibEs5.ts,1
compiler/contextualSignatureInstantiationWithTypeParameterConstrainedToOuterTypeParameter.ts,2
compiler/contextualSignatureInstatiationContravariance.ts,1
compiler/contextualTypeAny.ts,2
compiler/contextualTypeBasedOnIntersectionWithAnyInTheMix3.ts,2
compiler/contextualTypeBasedOnIntersectionWithAnyInTheMix4.ts,1
compiler/contextualTypeBasedOnIntersectionWithAnyInTheMix5.ts,2
compiler/contextualTypeFunctionObjectPropertyIntersection.ts,2
compiler/contextualTypeOnYield2.ts,1
compiler/contextualTypeShouldBeLiteral.ts,2
compiler/contextualTypesNegatedTypeLikeConstraintInGenericMappedType1.ts,2
compiler/contextualTypesNegatedTypeLikeConstraintInGenericMappedType2.ts,2
compiler/contextualTypesNegatedTypeLikeConstraintInGenericMappedType3.ts,2
compiler/contextualTypingArrayDestructuringWithDefaults.ts,2
compiler/contextualTypingGenericFunction2.ts,2
compiler/contextualTypingOfOptionalMembers.tsx,2
compiler/contextualTypingReturnStatementWithReturnTypeAnnotation.ts,2
compiler/contextualTypingWithFixedTypeParameters1.ts,2
compiler/contextualTypingWithGenericAndNonGenericSignature.ts,2
compiler/contextuallyTypeAsyncFunctionReturnTypeFromUnion.ts,3
compiler/contextuallyTypeGeneratorReturnTypeFromUnion.ts,1
compiler/contextuallyTypedByDiscriminableUnion2.ts,2
compiler/contextuallyTypedJsxAttribute.ts,2
compiler/contextuallyTypedJsxAttribute2.tsx,4
compiler/contextuallyTypedJsxChildren.tsx,3
compiler/contextuallyTypedOptionalProperty.ts,2
compiler/contextuallyTypedParametersOptionalInJSDoc.ts,1
compiler/contextuallyTypedParametersWithInitializers1.ts,2
compiler/contextuallyTypedSymbolNamedProperties.ts,3
compiler/controlFlowAliasedDiscriminants.ts,2
compiler/controlFlowArrayErrors.ts,1
compiler/controlFlowArrays.ts,2
compiler/controlFlowAutoAccessor1.ts,3
compiler/controlFlowDestructuringVariablesInTryCatch.ts,1
compiler/controlFlowForFunctionLike1.ts,2
compiler/controlFlowForStatementContinueIntoIncrementor1.ts,2
compiler/controlFlowFunctionLikeCircular1.ts,2
compiler/controlFlowManyCallExpressionStatementsPerf.ts,2
compiler/controlFlowNoImplicitAny.ts,2
compiler/convertClassExpressionToFunctionFromObjectProperty2.ts,2
compiler/convertKeywordsYes.ts,2
compiler/correctOrderOfPromiseMethod.ts,1
compiler/correlatedUnions.ts,2
compiler/crashDeclareGlobalTypeofExport.ts,2
compiler/crashInEmitTokenWithComment.ts,1
compiler/crashInYieldStarInAsyncFunction.ts,3
compiler/crashInsourcePropertyIsRelatableToTargetProperty.ts,2
compiler/crashIntypeCheckInvocationExpression.ts,2
