norm_name,go_func,go_recv,go_file,rust_func,rust_file,rust_impl,match_type,score,aligned,marked_round,note
get_normalized_absolute_path_without_root,GetNormalizedAbsolutePathWithoutRoot,,tsc/internal/tspath/path.go:388,get_normalized_absolute_path_without_root,tsox-core/src/tspath/supported_ts_extensions_flat.rs:197,ComparePathsOptions,exact,1.0,,,
get_normalized_path_components,GetNormalizedPathComponents,,tsc/internal/tspath/path.go:341,get_normalized_path_components,tsox-tsoptions/src/vfs/vfsmatch_unlimited_depth.rs:222,,exact,1.0,,,
get_normalized_path_components_from_combined,getNormalizedPathComponentsFromCombined,,tsc/internal/tspath/path.go:346,get_normalized_path_components_from_combined,tsox-core/src/tspath/get_normalized_absolute_path.rs:46,,exact,1.0,,,
get_normalized_paths,getNormalizedPaths,,tsc/internal/execute/incremental/buildInfo.go:572,,,,go_only,0.0,,,
get_normalized_symbol_modifiers,getNormalizedSymbolModifiers,,tsc/internal/ls/lsutil/symbol_display.go:368,,,,go_only,0.0,,,
get_normalized_tuple_type,getNormalizedTupleType,Checker,tsc/internal/checker/checker.go:28424,,,,go_only,0.0,,,
get_normalized_type,getNormalizedType,Checker,tsc/internal/checker/checker.go:28216,,,,go_only,0.0,yes,w28c,keyof 延迟化+化简
get_normalized_union_or_intersection_type,getNormalizedUnionOrIntersectionType,Checker,tsc/internal/checker/checker.go:28391,,,,go_only,0.0,,,
get_not_equal_facts_from_typeof_switch,getNotEqualFactsFromTypeofSwitch,Checker,tsc/internal/checker/flow.go:2012,,,,go_only,0.0,,,
get_null_type,GetNullType,Checker,tsc/internal/checker/exports.go:28,get_null_type,tsox-checker/src/checker/checker_impl_chunk_5_checker.rs:70,Checker,exact,1.0,,,
get_nullable_symbol_origin_info_kind,getNullableSymbolOriginInfoKind,,tsc/internal/ls/completions.go:3434,,,,go_only,0.0,,,
get_nullable_type,getNullableType,Checker,tsc/internal/checker/checker.go:18971,get_nullable_type,tsox-checker/src/checker/typenode_impl_chunk_checker_2.rs:240,Checker,exact,1.0,,,
get_number_index_type,GetNumberIndexType,Checker,tsc/internal/checker/services.go:253,get_number_index_type,tsox-checker/src/checker/services_checker.rs:184;tsox-checker/src/checker/services_checker_4.rs:316,Checker,exact,1.0,,,
get_number_literal_type,getNumberLiteralType,Checker,tsc/internal/checker/checker.go:25665,get_number_literal_type,tsox-checker/src/checker/checker_impl_chunk_checker_4.rs:322,Checker,exact,1.0,,,
get_number_literal_value,getNumberLiteralValue,,tsc/internal/checker/checker.go:25701,,,,go_only,0.0,,,
get_number_of_js_files,GetNumberOfJSFiles,CompilationResult,tsc/internal/testutil/harnessutil/harnessutil.go:867,,,,go_only,0.0,,,
get_number_type,GetNumberType,Checker,tsc/internal/checker/exports.go:12,get_number_type,tsox-checker/src/checker/checker_impl_chunk_5_checker.rs:58,Checker,exact,1.0,,,
get_numeric_literal_name,,,,get_numeric_literal_name,tsox-checker/src/checker/utilities_is_optional_symbol.rs:107,,rust_only,0.0,,,
get_object_literal_index_info,getObjectLiteralIndexInfo,Checker,tsc/internal/checker/checker.go:20042,,,,go_only,0.0,,,
get_object_marker,getObjectMarker,,tsc/internal/fourslash/test_parser.go:468,,,,go_only,0.0,,,
get_object_type_instantiation,getObjectTypeInstantiation,Checker,tsc/internal/checker/checker.go:22646,,,,go_only,0.0,,,
get_object_type_name,getObjectTypeName,,tsc/internal/checker/utilities.go:633,get_object_type_name,tsox-checker/src/checker/utilities_has_only_expression_initialization.rs:170,,exact,1.0,,,
