key,seconds
compiler/collisionArgumentsFunction.ts,0.10
compiler/collisionArgumentsFunctionExpressions.ts,0.10
compiler/collisionArgumentsInType.ts,0.10
compiler/collisionArgumentsInterfaceMembers.ts,0.10
compiler/collisionCodeGenModuleWithUnicodeNames.ts,0.10
compiler/collisionSuperAndLocalFunctionInAccessors.ts,4.01
compiler/collisionSuperAndLocalVarInAccessors.ts,2.71
compiler/collisionSuperAndParameter.ts,4.11
compiler/collisionThisExpressionAndLocalVarInAccessors.ts,2.71
compiler/commaOperator1.ts,0.10
compiler/commaOperatorLeftSideUnused.ts,0.10
compiler/commentEmitAtEndOfFile1.ts,0.10
compiler/commentsAtEndOfFile1.ts,0.10
compiler/commentsClass.ts,2.71
compiler/commentsCommentParsing.ts,2.71
compiler/commentsEnums.ts,3.90
compiler/commentsExternalModules3.ts,3.90
compiler/commentsFormatting.ts,2.71
compiler/commentsFunction.ts,4.11
compiler/commentsInterface.ts,3.10
compiler/commentsModules.ts,2.61
compiler/commentsMultiModuleSingleFile.ts,4.00
compiler/commentsOnJSXExpressionsArePreserved.tsx,30.13
compiler/commentsOnObjectLiteral3.ts,5.21
compiler/commentsOnObjectLiteral4.ts,3.31
compiler/commentsOnObjectLiteral5.ts,4.11
compiler/commentsOnRequireStatement.ts,3.11
compiler/commentsOverloads.ts,3.71
compiler/commentsdoNotEmitComments.ts,3.11
compiler/commentsemitComments.ts,2.60
compiler/commonJsIsolatedModules.ts,0.10
compiler/commonJsUnusedLocals.ts,0.10
compiler/commonSourceDir3.ts,0.10
compiler/commonSourceDir4.ts,0.10
compiler/commonjsAccessExports.ts,0.10
compiler/commonjsSafeImport.ts,4.31
compiler/computerPropertiesInES5ShouldBeTransformed.ts,3.91
compiler/conditionalExpressions2.ts,0.10
compiler/constDeclarations-es5.ts,4.01
compiler/constDeclarations-invalidContexts.ts,0.10
compiler/constDeclarations-scopes.ts,0.10
compiler/constDeclarations-validContexts.ts,0.11
compiler/constEnumNamespaceReferenceCausesNoImport.ts,6.22
compiler/constructorPropertyJs.ts,0.10
compiler/constructorWithIncompleteTypeAnnotation.ts,0.10
compiler/constructorWithSuperAndPrologue.es5.ts,2.81
compiler/contentMapperAliasDiagnostic.ts,0.10
compiler/contentMapperDeclarationEmit.ts,0.10
compiler/contentMapperDeclarationEmitFailure.ts,0.10
compiler/contentMapperDiagnosticDirectives.ts,0.10
compiler/contentMapperDiagnostics.ts,0.10
compiler/contentMapperInvalidDiagnosticDirectives.ts,0.10
compiler/contentMapperInvalidExtension.ts,0.10
compiler/contentMapperPerFileExtension.ts,0.10
compiler/contentMapperSupplementalDiagnostics.ts,0.10
compiler/contentMapperSupplementalFileCollision.ts,0.10
compiler/contentMapperSupplementalGlobals.ts,0.10
compiler/contentMapperSupplementalModule.ts,0.10
compiler/contentMapperSymlink.ts,0.10
compiler/contentMapperSynthesizedUnusedDiagnostics.ts,0.10
compiler/contentMapperTransform.ts,0.10
compiler/contextualExpressionTypecheckingDoesntBlowStack.ts,3.81
compiler/contextuallyTypeArgumentsKeyword.ts,0.10
compiler/contextuallyTypedJsxChildren2.tsx,5.01
compiler/continueInLoopsWithCapturedBlockScopedBindings1.ts,4.01
compiler/continueNotInIterationStatement4.ts,0.10
compiler/continueTarget3.ts,0.10
compiler/continueTarget4.ts,0.10
compiler/continueTarget5.ts,0.10
compiler/controlFlowInstanceof.ts,0.10
compiler/controlFlowInstanceofWithSymbolHasInstance.ts,0.10
compiler/convertClassExpressionToFunctionFromObjectProperty1.ts,4.00
compiler/convertClassExpressionToFunctionFromObjectProperty2.ts,4.01
compiler/convertKeywordsYes.ts,0.10
compiler/declFileAccessors.ts,4.11
compiler/declFileCallSignatures.ts,3.91
compiler/declFileClassExtendsNull.ts,4.31
compiler/declFileConstructSignatures.ts,3.81
compiler/declFileConstructors.ts,2.61
compiler/declFileFunctions.ts,2.91
compiler/declFileIndexSignatures.ts,2.80
compiler/declFileMethods.ts,3.90
compiler/declFileObjectLiteralWithAccessors.ts,2.70
compiler/declFileObjectLiteralWithOnlyGetter.ts,3.80
compiler/declFileObjectLiteralWithOnlySetter.ts,3.60
compiler/declFilePrivateStatic.ts,3.91
compiler/declFileTypeAnnotationArrayType.ts,3.91
compiler/declFileTypeAnnotationBuiltInType.ts,3.91
compiler/declFileTypeAnnotationStringLiteral.ts,3.21
compiler/declFileTypeAnnotationTupleType.ts,2.80
